STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/3/2008,0,42,23
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/4/2008,0.04,46,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/5/2008,0,38,24
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/6/2008,0,33,19
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/7/2008,0,36,18
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/8/2008,0,27,17
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/9/2008,0.01,57,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/10/2008,0.39,61,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/11/2008,1.77,42,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/12/2008,0.99,43,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/13/2008,0,32,21
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/14/2008,0,46,20
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/15/2008,0.02,64,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/16/2008,0.25,56,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/17/2008,0.25,43,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/18/2008,0,41,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/19/2008,0.84,31,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/20/2008,0.02,29,21
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/21/2008,0.46,35,22
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/22/2008,0,24,11
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/23/2008,0,28,12
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/24/2008,0.61,52,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/25/2008,0.06,53,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/26/2008,0.01,38,21
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/27/2008,0.02,41,34
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/28/2008,0.01,64,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/29/2008,0,46,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/30/2008,0,43,26
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",12/31/2008,0.06,31,16
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/1/2009,0,25,13
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/2/2009,0,31,19
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/3/2009,0,37,21
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/4/2009,0,41,23
